Id,Age,Educ_background,Incumbent,Mar_relationship,Mortgage,Fin_loan,Default,Curt_balance,Prev_result,Num_prev_cont,Elapsed_days,Num_cont,Day,Month,Cont_means,Cont_time,Y
6217,32,Associate_Bachelor_and_beyond,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,6188,Established,4,89,3,13,May,Mobile,432,1
6218,50,Associate_Bachelor_and_beyond,Engineer,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,227,Unknown,0,-1,1,20,May,Unknown,350,1
6219,50,JHS_HS_graduate,Administrator,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,88,Unknown,0,-1,2,3,June,Mobile,312,0
6220,49,Associate_Bachelor_and_beyond,Manual_laborer,Divorced,Mortgage-Free_Unborrowed,Debtor,Non-Default,25,Unknown,0,-1,2,21,November,Mobile,110,0
6221,44,Associate_Bachelor_and_beyond,House_keeper,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,-31,Unknown,0,-1,1,12,August,Mobile,209,0
6222,24,JHS_HS_graduate,Engineer,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,-79,Unknown,0,-1,1,26,May,Mobile,243,0
6223,44,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,190,Unknown,0,-1,1,6,May,Landline,28,0
6224,26,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,3088,Unknown,0,-1,1,4,May,Mobile,229,0
6225,30,Unknown,Idle,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,958,Other,1,268,26,30,January,Mobile,147,0
6226,46,ES_graduate,House_keeper,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,490,Unknown,0,-1,2,21,June,Mobile,396,0
6227,41,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,838,Unknown,0,-1,5,20,November,Mobile,306,0
6228,28,JHS_HS_graduate,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,603,Unknown,0,-1,2,21,July,Mobile,327,0
6229,33,JHS_HS_graduate,Engineer,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,131,Rejected,3,179,6,17,January,Mobile,87,0
6230,47,JHS_HS_graduate,Services,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,997,Unknown,0,-1,3,3,June,Unknown,379,0
6231,45,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,2606,Unknown,0,-1,1,15,May,Unknown,763,0
6232,51,JHS_HS_graduate,Services,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,129,Unknown,0,-1,3,7,May,Mobile,217,0
6233,41,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgaged,Debtor,Default,-743,Unknown,0,-1,1,29,July,Mobile,645,1
6234,37,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,540,Established,3,141,3,16,October,Mobile,1293,1
6235,28,JHS_HS_graduate,Manual_laborer,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,580,Unknown,0,-1,1,21,July,Mobile,147,0
6236,35,JHS_HS_graduate,Manual_laborer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,338,Unknown,0,-1,2,29,July,Mobile,466,0
6237,51,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,174,Rejected,4,343,2,14,April,Mobile,494,1
6238,28,JHS_HS_graduate,Engineer,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,477,Rejected,3,280,2,11,July,Mobile,825,1
6239,48,Associate_Bachelor_and_beyond,Engineer,Married,Mortgaged,Debtor,Non-Default,100,Unknown,0,-1,4,16,May,Unknown,348,0
6240,57,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,754,Unknown,0,-1,2,6,August,Mobile,202,0
6241,41,JHS_HS_graduate,Administrator,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,36,Unknown,0,-1,1,8,May,Unknown,191,0
6242,55,Unknown,Supervision,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,152,Unknown,0,-1,1,5,May,Landline,533,0
6243,46,JHS_HS_graduate,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,-54,Unknown,0,-1,2,22,August,Mobile,1070,1
6244,33,JHS_HS_graduate,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,991,Unknown,0,-1,2,24,August,Mobile,204,0
6245,47,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debtor,Non-Default,-21,Unknown,0,-1,1,4,May,Mobile,612,0
6246,49,JHS_HS_graduate,Idle,Married,Mortgaged,Debtor,Non-Default,-101,Unknown,0,-1,1,15,August,Mobile,143,0
6247,54,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,450,Unknown,0,-1,5,20,August,Mobile,332,0
6248,34,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Default,-11,Unknown,0,-1,1,25,January,Mobile,1068,1
6249,70,ES_graduate,House_keeper,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,789,Unknown,0,-1,1,21,November,Mobile,85,0
6250,48,JHS_HS_graduate,Unknown,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,105,Unknown,0,-1,4,4,August,Mobile,149,0
6251,31,JHS_HS_graduate,Engineer,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,456,Unknown,0,-1,1,16,May,Unknown,756,1
6252,76,ES_graduate,Pensioner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,5230,Unknown,0,-1,1,28,October,Mobile,391,0
6253,53,JHS_HS_graduate,Administrator,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,781,Unknown,0,-1,2,7,May,Unknown,1018,0
6254,51,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-88,Unknown,0,-1,6,6,February,Mobile,146,0
6255,25,JHS_HS_graduate,Services,Married,Mortgaged,Debtor,Non-Default,100,Unknown,0,-1,1,19,July,Mobile,797,0
6256,27,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,441,Unknown,0,-1,4,23,November,Mobile,87,0
6257,40,JHS_HS_graduate,Idle,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,524,Unknown,0,-1,1,20,July,Mobile,223,0
6258,60,Associate_Bachelor_and_beyond,Business_owner,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,126,Rejected,1,168,3,7,October,Mobile,41,0
6259,29,JHS_HS_graduate,Services,Unmarried,Mortgaged,Debtor,Non-Default,-239,Unknown,0,-1,1,24,May,Unknown,726,1
6260,29,JHS_HS_graduate,Idle,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,265,Unknown,0,-1,1,19,May,Mobile,450,1
6261,24,JHS_HS_graduate,Services,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,4609,Unknown,0,-1,11,19,June,Unknown,181,1
6262,56,JHS_HS_graduate,Sole_proprietor,Divorced,Mortgaged,Debt-Free_Unborrowed,Default,404,Unknown,0,-1,3,6,May,Mobile,130,0
6263,45,Associate_Bachelor_and_beyond,Student,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,888,Established,1,174,2,1,February,Mobile,158,1
6264,26,JHS_HS_graduate,Services,Unmarried,Mortgaged,Debtor,Non-Default,7,Unknown,0,-1,2,20,May,Mobile,547,0
6265,37,ES_graduate,Sole_proprietor,Unmarried,Mortgaged,Debtor,Non-Default,14,Unknown,0,-1,5,12,May,Mobile,1251,1
6266,57,ES_graduate,House_keeper,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,21,Unknown,0,-1,5,20,August,Mobile,60,0
6267,31,Associate_Bachelor_and_beyond,Engineer,Married,Mortgaged,Debtor,Non-Default,239,Unknown,0,-1,3,15,May,Mobile,109,0
6268,44,ES_graduate,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,115,Unknown,0,-1,1,29,May,Unknown,115,0
6269,55,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Default,1142,Unknown,0,-1,3,6,June,Unknown,583,0
6270,50,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,75,Unknown,0,-1,5,20,November,Mobile,47,0
6271,23,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgaged,Debt-Free_Unborrowed,Default,48,Rejected,1,346,1,16,May,Mobile,653,1
6272,43,JHS_HS_graduate,House_keeper,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1715,Unknown,0,-1,2,4,February,Mobile,31,0
6273,29,Associate_Bachelor_and_beyond,Business_owner,Married,Mortgaged,Debtor,Non-Default,994,Unknown,0,-1,1,20,May,Unknown,79,0
6274,58,JHS_HS_graduate,Administrator,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1169,Rejected,6,240,3,12,May,Mobile,114,0
6275,42,JHS_HS_graduate,Business_owner,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,115,Rejected,3,238,1,19,May,Mobile,249,0
6276,54,Associate_Bachelor_and_beyond,Business_owner,Divorced,Mortgaged,Debt-Free_Unborrowed,Default,-92,Unknown,0,-1,1,15,May,Unknown,264,0
6277,57,JHS_HS_graduate,Engineer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-201,Unknown,0,-1,1,6,May,Mobile,50,0
6278,50,JHS_HS_graduate,Services,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-56,Unknown,0,-1,1,25,May,Unknown,331,0
6279,48,JHS_HS_graduate,Administrator,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,975,Unknown,4,228,1,15,May,Mobile,78,0
6280,56,ES_graduate,Pensioner,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,281,Unknown,0,-1,1,26,August,Mobile,180,0
6281,32,JHS_HS_graduate,Administrator,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,670,Rejected,1,172,2,16,October,Mobile,713,1
6282,49,ES_graduate,Pensioner,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,367,Other,3,333,2,14,May,Mobile,273,0
6283,55,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,3938,Unknown,0,-1,2,4,March,Mobile,1283,1
6284,39,JHS_HS_graduate,Unknown,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,125,Unknown,0,-1,1,4,February,Mobile,355,0
6285,47,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Default,668,Rejected,6,355,3,15,May,Mobile,549,1
6286,57,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgaged,Debtor,Non-Default,624,Rejected,7,174,7,23,November,Mobile,84,0
6287,56,JHS_HS_graduate,Supervision,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,754,Established,1,92,1,27,September,Mobile,126,1
6288,57,Unknown,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1022,Established,1,178,2,25,January,Mobile,404,0
6289,46,JHS_HS_graduate,Manual_laborer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Default,20,Unknown,0,-1,17,14,August,Mobile,104,0
6290,51,JHS_HS_graduate,Business_owner,Married,Mortgage-Free_Unborrowed,Debtor,Default,213,Unknown,0,-1,7,28,July,Mobile,128,0
6291,47,JHS_HS_graduate,Unknown,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,4796,Unknown,0,-1,4,6,June,Unknown,255,0
6292,35,Associate_Bachelor_and_beyond,Business_owner,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,352,Rejected,1,172,2,29,November,Mobile,49,0
6293,41,JHS_HS_graduate,Engineer,Married,Mortgaged,Debtor,Non-Default,-1,Unknown,0,-1,2,27,May,Unknown,114,0
6294,32,Associate_Bachelor_and_beyond,Manual_laborer,Unmarried,Mortgaged,Debtor,Non-Default,602,Rejected,1,244,2,1,April,Mobile,21,0
6295,44,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,461,Unknown,0,-1,2,20,November,Mobile,18,0
6296,77,Unknown,House_keeper,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,772,Established,0,92,2,15,September,Mobile,576,1
6297,31,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-163,Unknown,0,-1,3,15,May,Mobile,51,0
6298,52,ES_graduate,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-80,Unknown,0,-1,2,30,August,Mobile,294,0
6299,48,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debtor,Non-Default,-365,Rejected,2,258,2,19,February,Mobile,84,0
6300,77,ES_graduate,Pensioner,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,52,Unknown,0,-1,4,26,June,Mobile,55,0
6301,29,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-131,Unknown,0,-1,7,10,May,Mobile,165,0
6302,41,ES_graduate,Manual_laborer,Married,Mortgaged,Debtor,Non-Default,31,Unknown,0,-1,1,12,May,Mobile,575,0
6303,41,JHS_HS_graduate,Administrator,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,390,Unknown,0,-1,2,5,August,Mobile,219,0
6304,57,ES_graduate,Manual_laborer,Married,Mortgaged,Debtor,Default,-116,Unknown,0,-1,4,18,May,Mobile,231,0
6305,28,JHS_HS_graduate,Supervision,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,429,Unknown,3,126,1,20,November,Mobile,66,0
6306,42,JHS_HS_graduate,Administrator,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,151,Unknown,0,-1,1,17,September,Mobile,809,0
6307,30,ES_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,470,Rejected,2,329,4,15,May,Mobile,120,0
6308,29,JHS_HS_graduate,Engineer,Unmarried,Mortgaged,Debtor,Non-Default,312,Unknown,0,-1,2,21,May,Unknown,785,1
6309,30,ES_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,80,Unknown,0,-1,26,24,July,Mobile,131,0
6310,60,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,390,Rejected,1,231,2,7,February,Mobile,141,0
6311,53,Unknown,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,369,Unknown,0,358,1,13,May,Mobile,166,0
6312,28,JHS_HS_graduate,Engineer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,419,Unknown,0,-1,1,28,May,Unknown,132,0
6313,49,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1262,Established,0,252,2,30,January,Mobile,522,0
6314,41,JHS_HS_graduate,Pensioner,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,1727,Unknown,0,-1,2,15,May,Unknown,140,0
6315,43,JHS_HS_graduate,Services,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,203,Unknown,1,-1,3,13,May,Unknown,382,0
6316,47,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,701,Established,1,93,3,13,May,Mobile,209,0
6317,35,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,916,Unknown,0,-1,1,22,July,Mobile,113,0
6318,27,JHS_HS_graduate,Administrator,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,16,Unknown,0,-1,2,21,November,Mobile,74,0
6319,31,JHS_HS_graduate,Engineer,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,4335,Unknown,0,170,2,20,August,Mobile,422,0
6320,25,JHS_HS_graduate,Services,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,684,Other,1,333,2,15,May,Mobile,177,1
6321,47,JHS_HS_graduate,Services,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,-109,Unknown,0,-1,10,5,July,Mobile,151,0
6322,48,ES_graduate,Supervision,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,389,Unknown,0,-1,15,9,July,Landline,127,0
6323,29,JHS_HS_graduate,Student,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,104,Other,0,188,1,19,September,Mobile,428,1
6324,44,Associate_Bachelor_and_beyond,Engineer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,251,Unknown,0,-1,6,13,August,Mobile,254,1
6325,55,Associate_Bachelor_and_beyond,Services,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Default,-65,Unknown,0,-1,1,5,June,Unknown,92,1
6326,32,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,225,Rejected,0,-1,1,14,May,Unknown,44,0
6327,29,Associate_Bachelor_and_beyond,Engineer,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,498,Unknown,0,-1,16,29,April,Mobile,108,1
6328,52,JHS_HS_graduate,Engineer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,4386,Rejected,3,174,3,29,May,Mobile,68,0
6329,47,JHS_HS_graduate,Engineer,Married,Mortgaged,Debtor,Non-Default,1091,Unknown,0,-1,2,19,June,Mobile,92,0
6330,52,ES_graduate,Pensioner,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,369,Unknown,0,-1,1,30,July,Mobile,19,0
6331,45,Associate_Bachelor_and_beyond,Idle,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,-25,Unknown,0,-1,4,29,January,Mobile,123,0
6332,53,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,751,Rejected,2,172,2,19,August,Mobile,345,0
6333,26,JHS_HS_graduate,Services,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,905,Unknown,0,-1,3,10,May,Unknown,443,0
6334,28,JHS_HS_graduate,Engineer,Unmarried,Mortgaged,Debtor,Non-Default,206,Unknown,0,-1,1,15,May,Mobile,113,0
6335,44,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,1034,Unknown,0,-1,2,6,June,Unknown,102,0
6336,28,Associate_Bachelor_and_beyond,Engineer,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,1005,Rejected,3,177,2,16,May,Mobile,106,0
6337,38,JHS_HS_graduate,Engineer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,547,Rejected,1,174,2,21,November,Mobile,108,0
6338,48,ES_graduate,Manual_laborer,Married,Mortgage-Free_Unborrowed,Debtor,Default,-1055,Unknown,0,-1,4,13,July,Mobile,386,0
6339,29,JHS_HS_graduate,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debtor,Default,-102,Unknown,0,-1,25,23,July,Mobile,75,0
6340,62,ES_graduate,Pensioner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,319,Unknown,0,-1,2,15,March,Mobile,83,0
6341,58,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,529,Unknown,0,-1,6,14,July,Landline,43,0
6342,32,JHS_HS_graduate,Student,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,117,Rejected,2,269,3,25,December,Mobile,741,1
6343,27,Associate_Bachelor_and_beyond,Engineer,Married,Mortgaged,Debtor,Non-Default,93,Other,3,27,2,5,August,Mobile,114,0
6344,55,Associate_Bachelor_and_beyond,Business_owner,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1014,Rejected,7,340,2,13,May,Mobile,310,0
6345,47,Associate_Bachelor_and_beyond,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1071,Rejected,1,237,2,3,February,Mobile,121,0
6346,42,Unknown,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,2074,Unknown,0,18,2,1,February,Landline,179,0
6347,29,JHS_HS_graduate,Engineer,Divorced,Mortgaged,Debt-Free_Unborrowed,Default,398,Rejected,1,180,1,21,November,Mobile,53,1
6348,42,JHS_HS_graduate,Engineer,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,458,Unknown,0,-1,1,6,May,Unknown,251,0
6349,55,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,219,Rejected,5,174,1,5,February,Mobile,59,0
6350,58,ES_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,258,Rejected,3,244,1,5,May,Mobile,119,0
6351,39,JHS_HS_graduate,Services,Divorced,Mortgaged,Debtor,Non-Default,212,Unknown,0,-1,1,9,July,Mobile,263,0
6352,50,JHS_HS_graduate,Administrator,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,-27,Unknown,0,-1,5,11,August,Mobile,172,0
6353,32,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debtor,Non-Default,252,Unknown,0,-1,3,24,August,Mobile,943,0
6354,31,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-198,Unknown,0,-1,1,14,May,Mobile,351,0
6355,28,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,173,Unknown,0,-1,4,22,July,Mobile,119,0
6356,29,JHS_HS_graduate,Engineer,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,193,Unknown,0,-1,1,2,February,Mobile,151,0
6357,65,Associate_Bachelor_and_beyond,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,5649,Unknown,0,-1,2,2,March,Mobile,107,1
6358,55,ES_graduate,Sole_proprietor,Married,Mortgaged,Debt-Free_Unborrowed,Default,-186,Unknown,0,-1,4,21,July,Mobile,151,0
6359,50,ES_graduate,Manual_laborer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,376,Unknown,0,-1,1,20,April,Mobile,87,0
6360,28,Unknown,Student,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,732,Other,2,118,5,9,August,Mobile,87,0
6361,22,ES_graduate,Business_owner,Married,Mortgaged,Debtor,Non-Default,-19,Unknown,0,-1,1,9,July,Mobile,148,0
6362,58,JHS_HS_graduate,Pensioner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-129,Unknown,0,-1,1,29,March,Landline,169,0
6363,48,JHS_HS_graduate,Business_owner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,324,Unknown,0,-1,3,8,June,Unknown,730,0
6364,46,ES_graduate,House_keeper,Married,Mortgaged,Debtor,Non-Default,453,Unknown,0,-1,2,6,July,Mobile,133,0
6365,55,JHS_HS_graduate,Administrator,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,55,Unknown,0,-1,1,20,August,Mobile,57,0
6366,52,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1585,Unknown,0,-1,4,4,August,Mobile,142,1
6367,52,JHS_HS_graduate,Engineer,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Default,-1222,Unknown,0,-1,2,21,August,Mobile,72,0
6368,45,JHS_HS_graduate,Business_owner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,828,Unknown,0,-1,1,5,January,Unknown,161,0
6369,45,Associate_Bachelor_and_beyond,Pensioner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,115,Unknown,0,-1,2,12,August,Mobile,83,0
6370,28,JHS_HS_graduate,Student,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,2041,Other,0,-1,2,28,May,Landline,442,1
6371,71,ES_graduate,Services,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,4142,Established,0,89,2,11,August,Mobile,412,1
6372,39,Associate_Bachelor_and_beyond,Services,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,66,Unknown,0,-1,2,8,June,Unknown,101,0
6373,35,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgage-Free_Unborrowed,Debtor,Non-Default,1529,Unknown,0,-1,1,20,November,Mobile,1061,1
6374,54,Associate_Bachelor_and_beyond,Engineer,Divorced,Mortgaged,Debtor,Non-Default,180,Unknown,10,-1,2,16,July,Mobile,1376,1
6375,26,Associate_Bachelor_and_beyond,Sole_proprietor,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,480,Unknown,0,-1,2,19,February,Mobile,97,0
6376,56,JHS_HS_graduate,Supervision,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,583,Unknown,0,-1,2,28,August,Mobile,723,0
6377,48,JHS_HS_graduate,House_keeper,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1127,Unknown,0,-1,3,4,June,Unknown,109,0
6378,29,Associate_Bachelor_and_beyond,Sole_proprietor,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,888,Unknown,0,-1,3,2,June,Unknown,647,1
6379,59,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,352,Rejected,1,88,2,14,November,Mobile,133,1
6380,23,Associate_Bachelor_and_beyond,Engineer,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,-12,Unknown,0,-1,1,21,May,Unknown,117,0
6381,55,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgage-Free_Unborrowed,Debtor,Non-Default,4554,Rejected,1,173,2,3,February,Mobile,904,1
6382,45,JHS_HS_graduate,House_keeper,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Default,115,Unknown,0,-1,2,7,June,Mobile,183,0
6383,55,JHS_HS_graduate,Administrator,Unmarried,Mortgaged,Debtor,Non-Default,555,Rejected,6,175,2,22,April,Mobile,95,0
6384,44,JHS_HS_graduate,Administrator,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,659,Unknown,0,-1,2,13,November,Mobile,59,0
6385,32,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debtor,Default,-43,Unknown,0,-1,10,31,May,Mobile,109,0
6386,56,JHS_HS_graduate,Services,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-181,Unknown,0,-1,1,15,July,Mobile,151,0
